zip,primary_city,state,county,timezone,latitude,longitude
501,Holtsville,NY,Suffolk County,America/New_York,40.81,-73.04
544,Holtsville,NY,Suffolk County,America/New_York,40.81,-73.04
601,Adjuntas,PR,Adjuntas Municipio,America/Puerto_Rico,18.16,-66.72
602,Aguada,PR,Aguada Municipio,America/Puerto_Rico,18.38,-67.18
603,Aguadilla,PR,Aguadilla Municipio,America/Puerto_Rico,18.43,-67.15
604,Aguadilla,PR,,America/Puerto_Rico,18.43,-67.15
605,Aguadilla,PR,,America/Puerto_Rico,18.43,-67.15
606,Maricao,PR,Maricao Municipio,America/Puerto_Rico,18.18,-66.98
610,Anasco,PR,Anasco Municipio,America/Puerto_Rico,18.28,-67.14
611,Angeles,PR,,America/Puerto_Rico,18.28,-66.79
612,Arecibo,PR,Arecibo Municipio,America/Puerto_Rico,18.45,-66.73
613,Arecibo,PR,,America/Puerto_Rico,18.45,-66.73
614,Arecibo,PR,,America/Puerto_Rico,18.45,-66.73
616,Bajadero,PR,Arecibo Municipio,America/Puerto_Rico,18.42,-66.67
617,Barceloneta,PR,Barceloneta Municipio,America/Puerto_Rico,18.45,-66.56
622,Boqueron,PR,Cabo Rojo Municipio,America/Puerto_Rico,17.99,-67.15
623,Cabo Rojo,PR,Cabo Rojo Municipio,America/Puerto_Rico,18.08,-67.14
624,Penuelas,PR,Penuelas Municipio,America/Puerto_Rico,18.06,-66.72
627,Camuy,PR,Camuy Municipio,America/Puerto_Rico,18.48,-66.84
631,Castaner,PR,Lares Municipio,America/Puerto_Rico,18.19,-66.82
636,Rosario,PR,,America/Puerto_Rico,18.15,-67.06
637,Sabana Grande,PR,Sabana Grande Municipio,America/Puerto_Rico,18.08,-66.96
638,Ciales,PR,Ciales Municipio,America/Puerto_Rico,18.33,-66.47
641,Utuado,PR,Utuado Municipio,America/Puerto_Rico,18.27,-66.7
646,Dorado,PR,Dorado Municipio,America/Puerto_Rico,18.47,-66.27
647,Ensenada,PR,Guanica Municipio,America/Puerto_Rico,17.96,-66.94
650,Florida,PR,Florida Municipio,America/Puerto_Rico,18.36,-66.56
652,Garrochales,PR,Arecibo Municipio,America/Puerto_Rico,18.45,-66.6
653,Guanica,PR,Guanica Municipio,America/Puerto_Rico,17.99,-66.89
656,Guayanilla,PR,Guayanilla Municipio,America/Puerto_Rico,18.02,-66.79
659,Hatillo,PR,Hatillo Municipio,America/Puerto_Rico,18.48,-66.82
660,Hormigueros,PR,Hormigueros Municipio,America/Puerto_Rico,18.14,-67.12
662,Isabela,PR,Isabela Municipio,America/Puerto_Rico,18.5,-67.02
664,Jayuya,PR,Jayuya Municipio,America/Puerto_Rico,18.22,-66.59
667,Lajas,PR,Lajas Municipio,America/Puerto_Rico,18.04,-67.06
669,Lares,PR,Lares Municipio,America/Puerto_Rico,18.29,-66.88
670,Las Marias,PR,Las Marias Municipio,America/Puerto_Rico,18.27,-67.06
674,Manati,PR,Manati Municipio,America/Puerto_Rico,18.43,-66.48
676,Moca,PR,Moca Municipio,America/Puerto_Rico,18.39,-67.11
677,Rincon,PR,Rincon Municipio,America/Puerto_Rico,18.34,-67.25
678,Quebradillas,PR,Quebradillas Municipio,America/Puerto_Rico,18.47,-66.93
680,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,18.2,-67.14
681,Mayaguez,PR,,America/Puerto_Rico,18.2,-67.14
682,Mayaguez,PR,Mayaguez Municipio,America/Puerto_Rico,18.22,-67.16
683,San German,PR,San German Municipio,America/Puerto_Rico,18.08,-67.04
685,San Sebastian,PR,San Sebastian Municipio,America/Puerto_Rico,18.33,-66.99
687,Morovis,PR,Morovis Municipio,America/Puerto_Rico,18.32,-66.4
688,Sabana Hoyos,PR,Arecibo Municipio,America/Puerto_Rico,18.38,-66.62
690,San Antonio,PR,Aguadilla Municipio,America/Puerto_Rico,18.49,-67.09
692,Vega Alta,PR,Vega Alta Municipio,America/Puerto_Rico,18.41,-66.32
693,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,18.44,-66.39
694,Vega Baja,PR,Vega Baja Municipio,America/Puerto_Rico,18.48,-66.39
698,Yauco,PR,Yauco Municipio,America/Puerto_Rico,18.03,-66.86
703,Aguas Buenas,PR,Aguas Buenas Municipio,America/Puerto_Rico,18.25,-66.1
704,Aguirre,PR,Salinas Municipio,America/Puerto_Rico,17.96,-66.22
705,Aibonito,PR,Aibonito Municipio,America/Puerto_Rico,18.14,-66.26
707,Maunabo,PR,Maunabo Municipio,America/Puerto_Rico,18,-65.9
714,Arroyo,PR,Arroyo Municipio,America/Puerto_Rico,17.97,-66.06
715,Mercedita,PR,Ponce Municipio,America/Puerto_Rico,18.01,-66.56
716,Ponce,PR,Ponce Municipio,America/Puerto_Rico,17.98,-66.6
717,Ponce,PR,Ponce Municipio,America/Puerto_Rico,18,-66.61
718,Naguabo,PR,Naguabo Municipio,America/Puerto_Rico,18.21,-65.73
719,Naranjito,PR,Naranjito Municipio,America/Puerto_Rico,18.3,-66.24
720,Orocovis,PR,Orocovis Municipio,America/Puerto_Rico,18.22,-66.39
721,Palmer,PR,,America/Puerto_Rico,18.37,-65.77
723,Patillas,PR,Patillas Municipio,America/Puerto_Rico,18,-66.01
725,Caguas,PR,Caguas Municipio,America/Puerto_Rico,18.23,-66.03
726,Caguas,PR,,America/Puerto_Rico,18.23,-66.03
727,Caguas,PR,Caguas Municipio,America/Puerto_Rico,18.22,-66.07
728,Ponce,PR,Ponce Municipio,America/Puerto_Rico,17.99,-66.66
729,Canovanas,PR,Canovanas Municipio,America/Puerto_Rico,18.37,-65.9
730,Ponce,PR,Ponce Municipio,America/Puerto_Rico,18.03,-66.62
731,Ponce,PR,Ponce Municipio,America/Puerto_Rico,18.11,-66.63
732,Ponce,PR,,America/Puerto_Rico,17.98,-66.6
733,Ponce,PR,,America/Puerto_Rico,17.98,-66.6
734,Ponce,PR,,America/Puerto_Rico,17.98,-66.6
735,Ceiba,PR,Ceiba Municipio,America/Puerto_Rico,18.25,-65.68
736,Cayey,PR,Cayey Municipio,America/Puerto_Rico,18.11,-66.16
737,Cayey,PR,,America/Puerto_Rico,18.11,-66.16
738,Fajardo,PR,Fajardo Municipio,America/Puerto_Rico,18.33,-65.65
739,Cidra,PR,Cidra Municipio,America/Puerto_Rico,18.17,-66.15
740,Puerto Real,PR,Fajardo Municipio,America/Puerto_Rico,18.33,-65.63
741,Punta Santiago,PR,Humacao Municipio,America/Puerto_Rico,18.16,-65.75
742,Roosevelt Roads,PR,,America/Puerto_Rico,18.27,-65.65
744,Rio Blanco,PR,,America/Puerto_Rico,18.22,-65.79
745,Rio Grande,PR,Rio Grande Municipio,America/Puerto_Rico,18.38,-65.83
751,Salinas,PR,Salinas Municipio,America/Puerto_Rico,17.97,-66.29
754,San Lorenzo,PR,San Lorenzo Municipio,America/Puerto_Rico,18.19,-65.96
757,Santa Isabel,PR,Santa Isabel Municipio,America/Puerto_Rico,17.97,-66.4
765,Vieques,PR,Vieques Municipio,America/Puerto_Rico,18.13,-65.44
766,Villalba,PR,Villalba Municipio,America/Puerto_Rico,18.13,-66.48
767,Yabucoa,PR,Yabucoa Municipio,America/Puerto_Rico,18.04,-65.87
769,Coamo,PR,Coamo Municipio,America/Puerto_Rico,18.08,-66.36
771,Las Piedras,PR,Las Piedras Municipio,America/Puerto_Rico,18.18,-65.86
772,Loiza,PR,Loiza Municipio,America/Puerto_Rico,18.43,-65.88
773,Luquillo,PR,Luquillo Municipio,America/Puerto_Rico,18.37,-65.71
775,Culebra,PR,Culebra Municipio,America/Puerto_Rico,18.33,-65.3
777,Juncos,PR,Juncos Municipio,America/Puerto_Rico,18.22,-65.91
778,Gurabo,PR,Gurabo Municipio,America/Puerto_Rico,18.25,-65.97
780,Coto Laurel,PR,Ponce Municipio,America/Puerto_Rico,18.09,-66.57
782,Comerio,PR,Comerio Municipio,America/Puerto_Rico,18.22,-66.22
783,Corozal,PR,Corozal Municipio,America/Puerto_Rico,18.34,-66.31
784,Guayama,PR,Guayama Municipio,America/Puerto_Rico,17.97,-66.11
785,Guayama,PR,,America/Puerto_Rico,17.97,-66.11
786,La Plata,PR,Aibonito Municipio,America/Puerto_Rico,18.16,-66.23
791,Humacao,PR,Humacao Municipio,America/Puerto_Rico,18.15,-65.81
792,Humacao,PR,,America/Puerto_Rico,18.15,-65.81
794,Barranquitas,PR,Barranquitas Municipio,America/Puerto_Rico,18.18,-66.3
795,Juana Diaz,PR,Juana Diaz Municipio,America/Puerto_Rico,18.05,-66.5
801,St Thomas,VI,,America/St_Thomas,18.35,-64.93
802,St Thomas,VI,,America/St_Thomas,18.35,-64.93
803,St Thomas,VI,,America/St_Thomas,18.35,-64.93
804,St Thomas,VI,,America/St_Thomas,18.35,-64.93
805,St Thomas,VI,,America/St_Thomas,18.34,-64.93
820,Christiansted,VI,,America/St_Thomas,17.74,-64.7
821,Christiansted,VI,,America/St_Thomas,17.74,-64.7
822,Christiansted,VI,,America/St_Thomas,17.74,-64.7
823,Christiansted,VI,,America/St_Thomas,17.74,-64.7
824,Christiansted,VI,,America/St_Thomas,17.74,-64.7
830,St John,VI,,America/St_Thomas,18.33,-64.79
831,St John,VI,,America/St_Thomas,18.33,-64.79
840,Frederiksted,VI,,America/St_Thomas,17.71,-64.88
841,Frederiksted,VI,,America/St_Thomas,17.71,-64.88
850,Kingshill,VI,,America/St_Thomas,17.76,-64.82
851,Kingshill,VI,,America/St_Thomas,17.73,-64.8
901,San Juan,PR,San Juan Municipio,America/Puerto_Rico,18.47,-66.1
902,San Juan,PR,,America/Puerto_Rico,18.4,-66.06
906,San Juan,PR,San Juan Municipio,America/Puerto_Rico,18.46,-66.09
907,San Juan,PR,San Juan Municipio,America/Puerto_Rico,18.45,-66.08
908,San Juan,PR,,America/Puerto_Rico,18.4,-66.06
909,San Juan,PR,San Juan Municipio,America/Puerto_Rico,18.44,-66.07
910,San Juan,PR,,America/Puerto_Rico,18.4,-66.06
911,San Juan,PR,San Juan Municipio,America/Puerto_Rico,18.45,-66.06
